Id,Card,Card type,Monster type,Attribute,Type,Level,ATK,DEF 
4434,Magician of Faith,Monster,Effect,LIGHT,Spellcaster,1,300,400
4435,Goddess of Whim,Monster,Effect,LIGHT,Fairy,3,950,700
4436,Water Magician,Monster,Normal,WATER,Aqua,4,1400,1000
4437,Ice Water,Monster,Normal,WATER,Aqua,3,1150,900
4438,Waterdragon Fairy,Monster,Normal,WATER,Aqua,3,1100,700
4439,Ancient Elf,Monster,Normal,LIGHT,Spellcaster,4,1450,1200
4440,Beautiful Beast Trainer,Monster,Normal,EARTH,Warrior,5,1750,1500
4441,Water Girl,Monster,Normal,WATER,Aqua,4,1250,1000
4442,White Dolphin,Monster,Normal,WATER,Fish,2,500,400
4443,Deepsea Shark,Monster,Fusion,WATER,Fish,5,1900,1600
4444,Metal Fish,Monster,Normal,WATER,Machine,5,1600,1900
4445,Bottom Dweller,Monster,Normal,WATER,Fish,5,1650,1700
4446,7 Colored Fish,Monster,Normal,WATER,Fish,4,1800,800
4447,Mech Bass,Monster,Normal,WATER,Machine,5,1800,1500
4448,Aqua Dragon,Monster,Fusion,WATER,Sea Serpent,6,2250,1900
4449,Sea King Dragon,Monster,Normal,WATER,Sea Serpent,6,2000,1700
4450,Turu-Purun,Monster,Normal,WATER,Aqua,2,450,500
4451,Defender of the Sea,Monster,Normal,WATER,Aqua,4,1300,1000
4452,Aqua Snake,Monster,Normal,WATER,Aqua,3,1050,900
4453,Giant Red Seasnake,Monster,Normal,WATER,Aqua,4,1800,800
4454,Spike Seadra,Monster,Normal,WATER,Sea Serpent,5,1600,1300
4455,"30,000-Year White Turtle",Monster,Normal,WATER,Aqua,5,1250,2100
4456,Kappa Avenger,Monster,Normal,WATER,Aqua,3,1200,900
4457,Kanikabuto,Monster,Normal,WATER,Aqua,3,650,900
4458,Zarigun,Monster,Normal,WATER,Aqua,2,600,700
4459,Millennium Golem,Monster,Normal,EARTH,Rock,6,2000,2200
4460,Destroyer Golem,Monster,Normal,EARTH,Rock,4,1500,1000
4461,Barrel Rock,Monster,Normal,EARTH,Rock,4,1000,1300
4462,Minomushi Warrior,Monster,Normal,EARTH,Rock,4,1300,1200
4463,Stone Ghost,Monster,Normal,EARTH,Rock,4,1200,1000
4464,Kaminari Attack,Monster,Fusion,WIND,Thunder,5,1900,1400
4465,Tripwire Beast,Monster,Normal,EARTH,Thunder,4,1200,1300
4466,Bolt Escargot,Monster,Normal,WATER,Thunder,5,1400,1500
4467,Bolt Penguin,Monster,Normal,WATER,Thunder,3,1100,800
4468,The Immortal of Thunder,Monster,Effect,LIGHT,Thunder,4,1500,1300
4469,Electric Snake,Monster,Effect,LIGHT,Thunder,3,800,900
4470,Wing Eagle,Monster,Normal,WIND,Winged Beast,5,1800,1500
4471,Punished Eagle,Monster,Fusion,WIND,Winged Beast,6,2100,1800
4472,Skull Red Bird,Monster,Normal,WIND,Winged Beast,4,1550,1200
4473,Crimson Sunbird,Monster,Fusion,FIRE,Winged Beast,6,2300,1800
4474,Queen Bird,Monster,Normal,WIND,Winged Beast,5,1200,2000
4475,Armed Ninja,Monster,Effect,EARTH,Warrior,1,300,300
4476,Magical Ghost,Monster,Normal,DARK,Zombie,4,1300,1400
4477,Soul Hunter,Monster,Fusion,DARK,Fiend,6,2200,1800
4478,Air Eater,Monster,Normal,WIND,Fiend,6,2100,1600
4479,Vermillion Sparrow,Monster,Fusion,FIRE,Pyro,5,1900,1500
4480,Sea Kamen,Monster,Normal,WATER,Aqua,4,1100,1300
4481,Sinister Serpent,Monster,Effect,WATER,Reptile,1,300,250
4482,Ganigumo,Monster,Normal,EARTH,Insect,2,600,800
4483,Alinsection,Monster,Normal,EARTH,Insect,3,950,700
4484,Insect Soldiers of the Sky,Monster,Effect,WIND,Insect,3,1000,800
4485,Cockroach Knight,Monster,Effect,EARTH,Insect,3,800,900
4486,Kuwagata α,Monster,Normal,EARTH,Insect,4,1250,1000
4487,Burglar,Monster,Normal,EARTH,Beast,3,850,800
4488,Pragtical,Monster,Fusion,EARTH,Dinosaur,5,1900,1500
4489,Garvas,Monster,Normal,EARTH,Beast,6,2000,1700
4490,Ameba,Monster,Effect,WATER,Aqua,1,300,350
4491,Korogashi,Monster,Normal,EARTH,Insect,2,550,400
4492,Boo Koo,Monster,Normal,DARK,Spellcaster,2,650,500
4493,Flower Wolf,Monster,Fusion,EARTH,Beast,5,1800,1400
4494,Rainbow Flower,Monster,Effect,EARTH,Plant,2,400,500
4495,Barrel Lily,Monster,Normal,EARTH,Plant,3,1100,600
4496,Needle Ball,Monster,Effect,DARK,Fiend,2,750,700
4497,Peacock,Monster,Normal,WIND,Winged Beast,5,1700,1500
4498,Hoshiningen,Monster,Effect,LIGHT,Fairy,2,500,700
4499,Maha Vailo,Monster,Effect,LIGHT,Spellcaster,4,1550,1400
4500,Rainbow Marine Mermaid,Monster,Normal,WATER,Fish,5,1550,1700
4501,Musician King,Monster,Fusion,LIGHT,Spellcaster,5,1750,1500
4502,Wilmee,Monster,Normal,EARTH,Beast,4,1000,1200
4503,Yado Karu,Monster,Effect,WATER,Aqua,4,900,1700
4504,Morinphen,Monster,Normal,DARK,Fiend,5,1550,1300
4505,Kattapillar,Monster,Normal,EARTH,Insect,1,250,300
4506,Dragon Seeker,Monster,Effect,DARK,Fiend,6,2000,2100
4507,Man-Eater Bug,Monster,Effect,EARTH,Insect,2,450,600
4508,D. Human,Monster,Normal,EARTH,Warrior,4,1300,1100
4509,Turtle Raccoon,Monster,Normal,WATER,Aqua,3,700,900
4510,Fungi of the Musk,Monster,Normal,DARK,Fiend,1,400,300
4511,Prisman,Monster,Normal,LIGHT,Rock,3,800,1000
4512,Gale Dogra,Monster,Effect,EARTH,Insect,2,650,600
4513,Crazy Fish,Monster,Normal,WATER,Fish,4,1600,1200
4514,Cyber Saurus,Monster,Fusion,EARTH,Machine,5,1800,1400
4515,Bracchio-raidus,Monster,Fusion,WATER,Dinosaur,6,2200,2000
4516,Laughing Flower,Monster,Normal,EARTH,Plant,2,900,500
4517,Bean Soldier,Monster,Normal,EARTH,Plant,4,1400,1300
4518,Cannon Soldier,Monster,Effect,DARK,Machine,4,1400,1300
4519,Guardian of the Throne Room,Monster,Normal,LIGHT,Machine,4,1650,1600
4520,Brave Scizzar,Monster,Normal,DARK,Machine,4,1300,1000
4521,The Statue of Easter Island,Monster,Normal,EARTH,Rock,4,1100,1400
4522,Muka Muka,Monster,Effect,EARTH,Rock,2,600,300
4523,Sand Stone,Monster,Normal,EARTH,Rock,5,1300,1600
4524,Boulder Tortoise,Monster,Normal,WATER,Aqua,6,1450,2200
4525,Fire Kraken,Monster,Normal,FIRE,Aqua,4,1600,1500
4526,Turtle Bird,Monster,Normal,WATER,Aqua,6,1900,1700
4527,Skullbird,Monster,Fusion,WIND,Winged Beast,6,1900,1700
4528,Monstrous Bird,Monster,Normal,WIND,Winged Beast,6,2000,1900
4529,The Bistro Butcher,Monster,Effect,DARK,Fiend,4,1800,1000
4530,Star Boy,Monster,Effect,WATER,Aqua,2,550,500
4531,Spirit of the Mountain,Monster,Normal,EARTH,Spellcaster,5,1300,1800
4532,Neck Hunter,Monster,Normal,DARK,Fiend,6,1750,1900
4533,Milus Radiant,Monster,Effect,EARTH,Beast,1,300,250
4534,Togex,Monster,Normal,EARTH,Beast,5,1600,1800
4535,Flame Cerebrus,Monster,Normal,FIRE,Pyro,6,2100,1800
4536,Eldeen,Monster,Normal,LIGHT,Spellcaster,3,950,1000
4537,Mystical Sand,Monster,Fusion,EARTH,Rock,6,2100,1700
4538,Gemini Elf,Monster,Normal,EARTH,Spellcaster,4,1900,900
4539,Kwagar Hercules,Monster,Fusion,EARTH,Insect,6,1900,1700
4540,Minar,Monster,Effect,EARTH,Insect,3,850,750
4541,Kamakiriman,Monster,Normal,EARTH,Insect,4,1150,1400
4542,Mechaleon,Monster,Normal,WATER,Reptile,2,800,600
4543,Mega Thunderball,Monster,Normal,WIND,Thunder,2,750,600
4544,Niwatori,Monster,Normal,EARTH,Winged Beast,3,900,800
4545,Corroding Shark,Monster,Normal,DARK,Zombie,3,1100,700
4546,Skelengel,Monster,Effect,LIGHT,Fairy,2,900,400
4547,Hane-Hane,Monster,Effect,EARTH,Beast,2,450,500
4548,Misairuzame,Monster,Normal,WATER,Fish,5,1400,1600
4549,Tongyo,Monster,Normal,WATER,Fish,4,1350,800
4550,Dharma Cannon,Monster,Normal,DARK,Machine,2,900,500
4551,Skelgon,Monster,Fusion,DARK,Zombie,6,1700,1900
4552,Wow Warrior,Monster,Normal,WATER,Fish,4,1250,900
4553,Griggle,Monster,Effect,EARTH,Plant,1,350,300
4554,Bone Mouse,Monster,Normal,DARK,Zombie,1,400,300
4555,Frog the Jam,Monster,Normal,WATER,Aqua,2,700,500
4556,Behegon,Monster,Normal,WATER,Aqua,4,1350,1000
4557,Dark Elf,Monster,Effect,DARK,Spellcaster,4,2000,800
4558,"Winged Dragon, Guardian of the Fortress #2",Monster,Normal,WIND,Winged Beast,4,1200,1000
4559,Mushroom Man #2,Monster,Effect,EARTH,Warrior,3,1250,800
4560,Lava Battleguard,Monster,Effect,EARTH,Warrior,5,1550,1800
4561,Tyhone #2,Monster,Normal,FIRE,Dragon,6,1700,1900
4562,The Wandering Doomed,Monster,Normal,DARK,Zombie,2,800,600
4563,Steel Ogre Grotto #1,Monster,Normal,EARTH,Machine,5,1400,1800
4564,Pot the Trick,Monster,Normal,EARTH,Rock,2,400,400
4565,Oscillo Hero,Monster,Normal,EARTH,Warrior,3,1250,700
4566,Invader from Another Dimension,Monster,Normal,DARK,Fiend,4,950,1400
4567,Lesser Dragon,Monster,Normal,WIND,Dragon,4,1200,1000
4568,Needle Worm,Monster,Effect,EARTH,Insect,2,750,600
4569,Wretched Ghost of the Attic,Monster,Normal,DARK,Fiend,2,550,400
4570,Great Mammoth of Goldfine,Monster,Fusion,DARK,Zombie,6,2200,1800
4571,Man-eating Black Shark,Monster,Fusion,WATER,Fish,5,2100,1300
4572,Yormungarde,Monster,Normal,EARTH,Reptile,3,1200,900
4573,Darkworld Thorns,Monster,Normal,EARTH,Plant,3,1200,900
4574,Anthrosaurus,Monster,Normal,EARTH,Dinosaur,3,1000,850
4575,Drooling Lizard,Monster,Normal,EARTH,Reptile,3,900,800
4576,Trakadon,Monster,Normal,EARTH,Dinosaur,3,1300,800
4577,B. Dragon Jungle King,Monster,Normal,EARTH,Dragon,6,2100,1800
4578,Empress Judge,Monster,Fusion,EARTH,Warrior,6,2100,1700
4579,Little D,Monster,Normal,EARTH,Dinosaur,3,1100,700
4580,Witch of the Black Forest,Monster,Effect,DARK,Spellcaster,4,1100,1200
4581,Ancient One of the Deep Forest,Monster,Normal,EARTH,Beast,6,1800,1900
4582,Giant Scorpion of the Tundra,Monster,Normal,EARTH,Insect,3,1100,1000
4583,Crow Goblin,Monster,Normal,WIND,Winged Beast,5,1850,1600
4584,Leo Wizard,Monster,Normal,EARTH,Spellcaster,5,1350,1200
4585,Abyss Flower,Monster,Normal,EARTH,Plant,2,750,400
4586,Patrol Robo,Monster,Effect,EARTH,Machine,3,1100,900
4587,Takuhee,Monster,Normal,WIND,Winged Beast,4,1450,1000
4588,Dark Witch,Monster,Normal,LIGHT,Fairy,5,1800,1700
4589,Weather Report,Monster,Effect,WATER,Aqua,4,950,1500
4590,Binding Chain,Monster,Normal,LIGHT,Fairy,3,1000,1100
4591,Mechanical Snail,Monster,Normal,DARK,Machine,3,800,1000
4592,Greenkappa,Monster,Effect,DARK,Warrior,3,650,900
4593,Mon Larvas,Monster,Normal,EARTH,Beast,4,1300,1400
4594,Living Vase,Monster,Normal,EARTH,Plant,3,900,1100
4595,Tentacle Plant,Monster,Normal,WATER,Plant,2,500,600
4596,Beaked Snake,Monster,Normal,EARTH,Reptile,3,800,900
4597,Morphing Jar,Monster,Effect,EARTH,Rock,2,700,600
4598,Muse-A,Monster,Normal,LIGHT,Fairy,3,850,900
4599,Giant Turtle Who Feeds on Flames,Monster,Normal,WATER,Aqua,5,1400,1800
4600,Rose Spectre of Dunn,Monster,Fusion,DARK,Plant,6,2000,1800
4601,Fiend Reflection #1,Monster,Normal,WIND,Winged Beast,4,1300,1400
4602,Ghoul with an Appetite,Monster,Normal,DARK,Zombie,4,1600,1200
4603,Pale Beast,Monster,Normal,EARTH,Beast,4,1500,1200
4604,Little Chimera,Monster,Effect,FIRE,Beast,2,600,550
4605,Violent Rain,Monster,Normal,WATER,Aqua,4,1550,800
4606,Key Mace #2,Monster,Normal,DARK,Fiend,4,1050,1200
4607,Tenderness,Monster,Normal,LIGHT,Fairy,3,700,1400
4608,Penguin Soldier,Monster,Effect,WATER,Aqua,2,750,500
4609,Fairy Dragon,Monster,Normal,WIND,Dragon,4,1100,1200
4610,Obese Marmot of Nefariousness,Monster,Normal,EARTH,Beast,3,750,800
4611,Liquid Beast,Monster,Normal,WATER,Aqua,3,950,800
4612,Twin Long Rods #2,Monster,Normal,WATER,Aqua,3,850,700
4613,Great Bill,Monster,Normal,EARTH,Beast,4,1250,1300
4614,Shining Friendship,Monster,Normal,LIGHT,Fairy,4,1300,1100
4615,Bladefly,Monster,Effect,WIND,Insect,2,600,700
4616,Electric Lizard,Monster,Effect,EARTH,Thunder,3,850,800
4617,Hiro's Shadow Scout,Monster,Effect,DARK,Fiend,2,650,500
4618,Lady of Faith,Monster,Normal,LIGHT,Spellcaster,3,1100,800
4619,Twin-Headed Thunder Dragon,Monster,Fusion,LIGHT,Thunder,7,2800,2100
4620,Hunter Spider,Monster,Normal,EARTH,Insect,5,1600,1400
4621,Armored Starfish,Monster,Normal,WATER,Aqua,4,850,1400
4622,Hourglass of Courage,Monster,Effect,LIGHT,Fairy,4,1100,1200
4623,Marine Beast,Monster,Fusion,WATER,Fish,5,1700,1600
4624,Warrior of Tradition,Monster,Fusion,EARTH,Warrior,6,1900,1700
4625,Rock Spirit,Monster,Normal,EARTH,Spellcaster,5,1650,1900
4626,Snakeyashi,Monster,Normal,EARTH,Plant,4,1000,1200
4627,Succubus Knight,Monster,Normal,DARK,Warrior,5,1650,1300
4628,Ill Witch,Monster,Normal,LIGHT,Spellcaster,5,1600,1500
4629,The Thing That Hides in the Mud,Monster,Normal,EARTH,Rock,4,1200,1300
4630,High Tide Gyojin,Monster,Normal,WATER,Aqua,4,1650,1300
4631,Fairy of the Fountain,Monster,Normal,WATER,Aqua,4,1600,1100
4632,Amazon of the Seas,Monster,Normal,WATER,Fish,4,1300,1400
4633,Nekogal #2,Monster,Normal,EARTH,Beast-Warrior,6,1900,2000
4634,Witch's Apprentice,Monster,Effect,DARK,Spellcaster,2,550,500
4635,Armored Rat,Monster,Normal,EARTH,Beast,3,950,1100
4636,Ancient Lizard Warrior,Monster,Normal,EARTH,Reptile,4,1400,1100
4637,Maiden of the Moonlight,Monster,Normal,LIGHT,Spellcaster,4,1500,1300
4638,Stone Ogre Grotto,Monster,Normal,EARTH,Rock,5,1600,1500
4639,Winged Egg of New Life,Monster,Normal,LIGHT,Fairy,5,1400,1700
4640,Night Lizard,Monster,Normal,WATER,Aqua,4,1150,1300
4641,Queen's Double,Monster,Effect,EARTH,Warrior,1,350,300
4642,Blue-Winged Crown,Monster,Normal,WIND,Winged Beast,4,1600,1200
4643,Trent,Monster,Normal,EARTH,Plant,5,1500,1800
4644,Queen of Autumn Leaves,Monster,Normal,EARTH,Plant,5,1800,1500
4645,Amphibious Bugroth,Monster,Fusion,WATER,Aqua,5,1850,1300
4646,Acid Crawler,Monster,Normal,EARTH,Insect,3,900,700
4647,Invader of the Throne,Monster,Effect,EARTH,Warrior,4,1350,1700
4648,Mystical Sheep #1,Monster,Effect,EARTH,Beast,3,1150,900
4649,Disk Magician,Monster,Normal,DARK,Machine,4,1350,1000
4650,Flame Viper,Monster,Normal,EARTH,Pyro,2,400,450
4651,Royal Guard,Monster,Normal,EARTH,Machine,6,1900,2200
4652,Gruesome Goo,Monster,Normal,WATER,Aqua,3,1300,700
4653,Hyosube,Monster,Normal,WATER,Aqua,4,1500,900
4654,Machine Attacker,Monster,Normal,EARTH,Machine,5,1600,1300
4655,Hibikime,Monster,Normal,EARTH,Warrior,4,1450,1000
4656,Whiptail Crow,Monster,Normal,DARK,Fiend,4,1650,1600
4707,Performance of Sword,Monster,Ritual,EARTH,Warrior,6,1950,1850
4708,Hungry Burger,Monster,Ritual,DARK,Warrior,6,2000,1850
4709,Sengenjin,Monster,Normal,EARTH,Beast-Warrior,8,2750,2500
4710,Skull Guardian,Monster,Ritual,LIGHT,Warrior,7,2050,2500
4711,Tri-Horned Dragon,Monster,Normal,DARK,Dragon,8,2850,2350
4712,Serpent Night Dragon,Monster,Normal,DARK,Dragon,7,2350,2400
4713,Skull Knight,Monster,Fusion,DARK,Spellcaster,7,2650,2250
4714,Cosmo Queen,Monster,Normal,DARK,Spellcaster,8,2900,2450
4715,Chakra,Monster,Ritual,DARK,Fiend,7,2450,2000
4716,Crab Turtle,Monster,Ritual,WATER,Aqua,8,2550,2500
4717,Mikazukinoyaiba,Monster,Normal,DARK,Dragon,7,2200,2350
4718,Meteor Dragon,Monster,Normal,EARTH,Dragon,6,1800,2000
4719,Meteor B. Dragon,Monster,Fusion,FIRE,Dragon,8,3500,2000
4720,Firewing Pegasus,Monster,Normal,FIRE,Beast,6,2250,1800
4722,Garma Sword,Monster,Ritual,DARK,Warrior,7,2550,2150
4723,Javelin Beetle,Monster,Ritual,EARTH,Insect,8,2450,2550
4724,Fortress Whale,Monster,Ritual,WATER,Fish,7,2350,2150
4725,Dokurorider,Monster,Ritual,DARK,Zombie,6,1900,1850
4728,Magician of Black Chaos,Monster,Ritual,DARK,Spellcaster,8,2800,2600
4729,Slot Machine,Monster,Normal,DARK,Machine,7,2000,2300
4731,Red Archery Girl,Monster,Normal,WATER,Aqua,4,1400,1500
4732,Ryu-Ran,Monster,Normal,FIRE,Dragon,7,2200,2600
4733,Manga Ryu-Ran,Monster,Effect,FIRE,Dragon,7,2200,2600
4734,Toon Mermaid,Monster,Effect,WATER,Aqua,4,1400,1500
4735,Toon Summoned Skull,Monster,Effect,DARK,Fiend,6,2500,1200
4736,Dark-Eyes Illusionist,Monster,Effect,DARK,Spellcaster,2,0,1400
4737,Relinquished,Monster,Ritual,DARK,Spellcaster,1,0,0
4738,Jigen Bakudan,Monster,Effect,FIRE,Pyro,2,200,1000
4739,Thousand-Eyes Idol,Monster,Normal,DARK,Spellcaster,1,0,0
4740,Thousand-Eyes Restrict,Monster,Fusion,DARK,Spellcaster,1,0,0
4741,Steel Ogre Grotto 2,Monster,Normal,EARTH,Machine,6,1900,2200
4742,Blast Sphere,Monster,Effect,DARK,Machine,4,1400,1400
4743,Hyozanryu,Monster,Normal,LIGHT,Dragon,7,2100,2800
4744,Alpha The Magnet Warrior,Monster,Normal,EARTH,Rock,4,1400,1700
4746,Invitation to a Dark Sleep,Monster,Effect,DARK,Spellcaster,5,1500,1800
4747,Lord of D.,Monster,Effect,DARK,Spellcaster,4,1200,1100
4748,Red-Eyes Black Metal Dragon,Monster,Effect,DARK,Machine,8,2800,2400
4749,Barrel Dragon,Monster,Effect,DARK,Machine,7,2600,2200
4750,Hannibal Necromancer,Monster,Effect,DARK,Spellcaster,4,1400,1800
4751,Panther Warrior,Monster,Effect,EARTH,Beast-Warrior,4,2000,1600
4752,Three-Headed Geedo,Monster,Normal,DARK,Fiend,4,1200,1400
4753,Gazelle the King of Mythical Beasts,Monster,Normal,EARTH,Beast,4,1500,1200
4754,Stone Statue of the Aztecs,Monster,Effect,EARTH,Rock,4,300,2000
4755,Berfomet,Monster,Effect,DARK,Fiend,5,1400,1800
4756,Chimera the Flying Mythical Beast,Monster,Fusion,WIND,Beast,6,2100,1800
4757,Gear Golem the Moving Fortress,Monster,Effect,EARTH,Machine,4,800,2200
4758,Jinzo,Monster,Effect,DARK,Machine,6,2400,1500
4759,Swordsman of Landstar,Monster,Normal,EARTH,Warrior,3,500,1200
4760,Cyber Raider,Monster,Effect,DARK,Machine,4,1400,1000
4761,The Fiend Megacyber,Monster,Effect,DARK,Warrior,6,2200,1200
4762,Reflect Bounder,Monster,Effect,LIGHT,Machine,4,1700,1000
4763,Beta The Magnet Warrior,Monster,Normal,EARTH,Rock,4,1700,1600
4764,Big Shield Gardna,Monster,Effect,EARTH,Warrior,4,100,2600
4766,Dark Magician Girl,Monster,Effect,DARK,Spellcaster,6,2000,1700
4767,Alligator's Sword,Monster,Normal,EARTH,Beast,4,1500,1200
4768,Insect Queen,Monster,Effect,EARTH,Insect,7,2200,2400
4769,Parasite Paracide,Monster,Effect,EARTH,Insect,2,500,300
4770,Skull-Mark Ladybug,Monster,Effect,EARTH,Insect,4,500,1500
4771,Little-Winguard,Monster,Effect,WIND,Warrior,4,1400,1800
4772,Pinch Hopper,Monster,Effect,EARTH,Insect,4,1000,1200
4773,Blue-Eyes Toon Dragon,Monster,Effect,LIGHT,Dragon,8,3000,2500
4774,Sword Hunter,Monster,Effect,EARTH,Warrior,7,2450,1700
4775,Drill Bug,Monster,Effect,EARTH,Insect,2,1100,200
4776,Deepsea Warrior,Monster,Effect,WATER,Warrior,5,1600,1800
4777,Bite Shoes,Monster,Effect,DARK,Fiend,2,500,300
4778,Spikebot,Monster,Normal,DARK,Machine,5,1800,1700
4780,Satellite Cannon,Monster,Effect,LIGHT,Machine,5,0,0
4785,The Last Warrior from Another Planet,Monster,Fusion,EARTH,Warrior,7,2350,2300
4786,Dunames Dark Witch,Monster,Normal,LIGHT,Fairy,4,1800,1050
4787,Garnecia Elefantis,Monster,Normal,EARTH,Beast-Warrior,7,2400,2000
4788,Total Defense Shogun,Monster,Effect,DARK,Warrior,6,1550,2500
4789,Beast of Talwar,Monster,Normal,DARK,Fiend,6,2400,2150
4790,Cyber-Tech Alligator,Monster,Normal,WIND,Machine,5,2500,1600
4792,Gamma The Magnet Warrior,Monster,Normal,EARTH,Rock,4,1500,1800
4795,Copycat,Monster,Effect,LIGHT,Spellcaster,1,0,0
4875,The Unhappy Maiden,Monster,Effect,LIGHT,Spellcaster,1,0,100
4879,The Stern Mystic,Monster,Effect,LIGHT,Spellcaster,4,1500,1200
4880,Wall of Illusion,Monster,Effect,DARK,Fiend,4,1000,1850
4881,Neo the Magic Swordsman,Monster,Normal,LIGHT,Spellcaster,4,1700,1000
4882,Baron of the Fiend Sword,Monster,Normal,DARK,Fiend,4,1550,800
4883,Man-Eating Treasure Chest,Monster,Normal,DARK,Fiend,4,1600,1000
4884,Sorcerer of the Doomed,Monster,Normal,DARK,Spellcaster,4,1450,1200
4913,Cyber Jar,Monster,Effect,DARK,Rock,3,900,900
4914,Banisher of the Light,Monster,Effect,LIGHT,Fairy,3,100,2000
4915,Giant Rat,Monster,Effect,EARTH,Beast,4,1400,1450
4916,Senju of the Thousand Hands,Monster,Effect,LIGHT,Fairy,4,1400,1000
4917,UFO Turtle,Monster,Effect,FIRE,Machine,4,1400,1200
4918,Flash Assailant,Monster,Effect,DARK,Fiend,4,2000,2000
4919,Karate Man,Monster,Effect,EARTH,Warrior,3,1000,1000
4920,Dark Zebra,Monster,Effect,EARTH,Beast,4,1800,400
4921,Giant Germ,Monster,Effect,DARK,Fiend,2,1000,100
4922,Nimble Momonga,Monster,Effect,EARTH,Beast,2,1000,100
4923,Spear Cretin,Monster,Effect,DARK,Fiend,2,500,500
4924,Shining Angel,Monster,Effect,LIGHT,Fairy,4,1400,800
4925,Boar Soldier,Monster,Effect,EARTH,Beast-Warrior,4,2000,500
4926,Mother Grizzly,Monster,Effect,WATER,Beast-Warrior,4,1400,1000
4927,Flying Kamakiri #1,Monster,Effect,WIND,Insect,4,1400,900
4928,Ceremonial Bell,Monster,Effect,LIGHT,Spellcaster,3,0,1850
4929,Sonic Bird,Monster,Effect,WIND,Winged Beast,4,1400,1000
4930,Mystic Tomato,Monster,Effect,DARK,Plant,4,1400,1100
4931,Kotodama,Monster,Effect,EARTH,Fairy,3,0,1600
4969,Morphing Jar #2,Monster,Effect,EARTH,Rock,3,800,700
4970,Bubonic Vermin,Monster,Effect,EARTH,Beast,3,900,600
4971,Flame Champion,Monster,Normal,FIRE,Pyro,5,1900,1300
4972,Twin-Headed Fire Dragon,Monster,Normal,FIRE,Pyro,6,2200,1700
4973,Darkfire Soldier #1,Monster,Normal,FIRE,Pyro,4,1700,1150
4974,Mr. Volcano,Monster,Normal,FIRE,Pyro,5,2100,1300
4975,Darkfire Soldier #2,Monster,Normal,FIRE,Pyro,4,1700,1100
4976,Kiseitai,Monster,Effect,DARK,Fiend,2,300,800
4977,Cyber Falcon,Monster,Normal,WIND,Machine,4,1400,1200
4978,Dark Bat,Monster,Normal,WIND,Winged Beast,3,1000,1000
4979,Flying Kamakiri #2,Monster,Normal,WIND,Insect,4,1500,800
4980,Harpie's Brother,Monster,Normal,WIND,Winged Beast,4,1800,600
4981,Oni Tank T-34,Monster,Normal,EARTH,Machine,4,1400,1700
4982,Overdrive,Monster,Normal,EARTH,Machine,4,1600,1500
4983,Buster Blader,Monster,Effect,EARTH,Warrior,7,2600,2300
5002,Valkyrion the Magna Warrior,Monster,Effect,EARTH,Rock,8,3500,3850
5003,Alligator's Sword Dragon,Monster,Fusion,WIND,Dragon,5,1700,1500
5004,Vorse Raider,Monster,Normal,DARK,Beast-Warrior,4,1900,1200
5015,Luminous Soldier,Monster,Effect,LIGHT,Warrior,5,2100,1400
5016,King Tiger Wanghu,Monster,Effect,EARTH,Beast,4,1700,1000
5017,Command Knight,Monster,Effect,FIRE,Warrior,4,1200,1900
5018,Wolf Axwielder,Monster,Normal,EARTH,Beast-Warrior,4,1650,1000
5019,The Illusory Gentleman,Monster,Normal,DARK,Spellcaster,4,1500,1600
5020,Patrician of Darkness,Monster,Effect,DARK,Zombie,5,2000,1400
5021,Birdface,Monster,Effect,WIND,Winged Beast,4,1600,1600
5022,Kryuel,Monster,Effect,DARK,Fiend,4,1000,1700
5023,Airknight Parshath,Monster,Effect,LIGHT,Fairy,5,1900,1400
5024,Fairy King Truesdale,Monster,Effect,WATER,Plant,6,2200,1500
5025,Serpentine Princess,Monster,Effect,WATER,Reptile,4,1400,2000
5026,Maiden of the Aqua,Monster,Effect,WATER,Aqua,4,700,2000
5027,Robotic Knight,Monster,Normal,FIRE,Machine,4,1600,1800
5028,Thunder Nyan Nyan,Monster,Effect,LIGHT,Thunder,4,1900,800
5029,Molten Behemoth,Monster,Normal,FIRE,Pyro,5,1000,2200
5030,Twin-Headed Behemoth,Monster,Effect,WIND,Dragon,3,1500,1200
5031,Injection Fairy Lily,Monster,Effect,EARTH,Spellcaster,3,400,1500
5032,Woodland Sprite,Monster,Effect,EARTH,Plant,3,900,400
5033,Arsenal Bug,Monster,Effect,EARTH,Insect,3,2000,2000
5034,Kinetic Soldier,Monster,Effect,EARTH,Machine,3,1350,1800
5035,Jowls of Dark Demise,Monster,Effect,WATER,Fiend,2,200,100
5036,Souleater,Monster,Normal,EARTH,Fish,4,1200,0
5037,Slate Warrior,Monster,Effect,WIND,Fiend,4,1900,400
5038,Shapesnatch,Monster,Normal,DARK,Machine,5,1200,1700
5040,Electromagnetic Bagworm,Monster,Effect,LIGHT,Insect,3,200,1400
5041,Timeater,Monster,Effect,DARK,Machine,6,1900,1700
5042,Mucus Yolk,Monster,Effect,DARK,Aqua,3,0,100
5043,Servant of Catabolism,Monster,Effect,LIGHT,Aqua,3,700,500
5044,Rigras Leever,Monster,Effect,FIRE,Plant,3,1600,100
5045,Moisture Creature,Monster,Effect,LIGHT,Fairy,9,2800,2900
5046,Boneheimer,Monster,Normal,WATER,Aqua,3,850,400
5048,Flame Dancer,Monster,Normal,FIRE,Pyro,2,550,450
5053,Sonic Jammer,Monster,Effect,WIND,Machine,2,350,650
